,Observed,Predicted
1981-01-01,,1.2994665
1981-01-02,,1.2444065
1981-01-03,,1.1798072
1981-01-04,,1.1529218
1981-01-05,,1.1311265
1981-01-06,,1.1521418
1981-01-07,,1.1134562
1981-01-08,,1.0894133
1981-01-09,,1.0902742
1981-01-10,,1.0611613
1981-01-11,,1.0133256
1981-01-12,,1.0142314
1981-01-13,,1.0197533
1981-01-14,,1.0123229
1981-01-15,,0.9965054
1981-01-16,,0.9637161
1981-01-17,,0.93709064
1981-01-18,,0.9280928
1981-01-19,,0.91110057
1981-01-20,,0.85769325
1981-01-21,,0.9076906
1981-01-22,,0.87176204
1981-01-23,,0.85218525
1981-01-24,,0.8525394
1981-01-25,,0.8419309
1981-01-26,,0.80494267
1981-01-27,,0.7937896
1981-01-28,,0.83735025
1981-01-29,,0.8196334
1981-01-30,,0.77206373
1981-01-31,,0.77007025
1981-02-01,,0.76444924
1981-02-02,,0.7801325
1981-02-03,,0.7577469
1981-02-04,,0.76434016
1981-02-05,,0.74567485
1981-02-06,,0.7424694
1981-02-07,,0.7640656
1981-02-08,,0.73812115
1981-02-09,,0.7466252
1981-02-10,,0.7691845
1981-02-11,,0.82629776
1981-02-12,,0.8072081
1981-02-13,,0.81470937
1981-02-14,,0.8010174
1981-02-15,,0.7784005
1981-02-16,,0.8014139
1981-02-17,,0.84733146
1981-02-18,,1.008649
1981-02-19,,1.2325379
1981-02-20,,1.6181569
1981-02-21,,2.080313
1981-02-22,,2.6880198
1981-02-23,,4.029025
1981-02-24,,7.131125
1981-02-25,,9.392589
1981-02-26,,10.196506
1981-02-27,,9.598239
1981-02-28,,8.907977
1981-03-01,,8.152696
1981-03-02,,7.3236237
1981-03-03,,6.6344585
1981-03-04,,5.915225
1981-03-05,,5.380851
1981-03-06,,4.8390365
1981-03-07,,4.460567
1981-03-08,,4.1513734
1981-03-09,,3.8224022
1981-03-10,,3.5233886
1981-03-11,,3.266904
1981-03-12,,3.0468268
1981-03-13,,2.8306882
1981-03-14,,2.643807
1981-03-15,,2.501724
1981-03-16,,2.3865395
1981-03-17,,2.2383468
1981-03-18,,2.1412752
1981-03-19,,2.0325785
1981-03-20,,1.9414924
1981-03-21,,1.8873773
1981-03-22,,1.84817
1981-03-23,,1.7754176
1981-03-24,,1.7417635
1981-03-25,,1.730635
1981-03-26,,1.7690178
1981-03-27,,1.8372929
1981-03-28,,1.926355
1981-03-29,,2.1321583
1981-03-30,,3.1812027
1981-03-31,,6.308308
1981-04-01,,9.193031
1981-04-02,,12.637472
1981-04-03,,14.244116
1981-04-04,,14.908591
1981-04-05,,15.477603
1981-04-06,,15.212016
1981-04-07,,13.631582
1981-04-08,,12.113722
1981-04-09,,11.54602
1981-04-10,,11.509782
1981-04-11,,11.111728
1981-04-12,,10.311205
1981-04-13,,9.060459
1981-04-14,,8.266504
1981-04-15,,7.745309
1981-04-16,,7.005097
1981-04-17,,6.421648
1981-04-18,,5.83855
1981-04-19,,5.5109754
1981-04-20,,5.2021484
1981-04-21,,4.771269
1981-04-22,,4.340093
1981-04-23,,4.0524783
1981-04-24,,3.9354167
1981-04-25,,3.8040662
1981-04-26,,3.6423728
1981-04-27,,3.4449797
1981-04-28,,3.243686
1981-04-29,,3.2760377
1981-04-30,,3.5451074
1981-05-01,,3.5675726
1981-05-02,,3.4766862
1981-05-03,,3.2568367
1981-05-04,,3.056953
1981-05-05,,2.9158175
1981-05-06,,2.7941244
1981-05-07,,2.636918
1981-05-08,,2.475242
1981-05-09,,2.3480444
1981-05-10,,2.3048384
1981-05-11,,3.0731046
1981-05-12,,5.8796587
1981-05-13,,7.9713526
1981-05-14,,9.24018
1981-05-15,,9.409213
1981-05-16,,9.32341
1981-05-17,,8.894374
1981-05-18,,8.018991
1981-05-19,,7.0437565
1981-05-20,,6.212541
1981-05-21,,5.5560646
1981-05-22,,4.903243
1981-05-23,,4.308485
1981-05-24,,3.8257415
1981-05-25,,3.5271049
1981-05-26,,3.5052714
1981-05-27,,3.4027722
1981-05-28,,3.2346492
1981-05-29,,3.0390813
1981-05-30,,2.9067838
1981-05-31,,2.8093495
1981-06-01,,2.610684
1981-06-02,,2.4192057
1981-06-03,,2.2510598
1981-06-04,,2.148535
1981-06-05,,2.074826
1981-06-06,,2.045201
1981-06-07,,2.0670195
1981-06-08,,1.9819437
1981-06-09,,1.9844232
1981-06-10,,1.8916385
1981-06-11,,1.7754452
1981-06-12,,1.6915526
1981-06-13,,1.5872393
1981-06-14,,1.5361707
1981-06-15,,1.6592928
1981-06-16,,2.028318
1981-06-17,,2.3189716
1981-06-18,,2.2785494
1981-06-19,,2.0972898
1981-06-20,,1.9110777
1981-06-21,,1.7527715
1981-06-22,,1.925405
1981-06-23,,2.1842742
1981-06-24,,2.2024577
1981-06-25,,2.2277186
1981-06-26,,2.282896
1981-06-27,,2.14131
1981-06-28,,1.9383366
1981-06-29,,1.8227191
1981-06-30,,1.7494563
1981-07-01,,1.6841826
1981-07-02,,1.5567759
1981-07-03,,1.4725528
1981-07-04,,1.4757516
1981-07-05,,1.5433302
1981-07-06,,1.5085589
1981-07-07,,1.4125484
1981-07-08,,1.3127207
1981-07-09,,1.2186301
1981-07-10,,1.1540589
1981-07-11,,1.0782546
1981-07-12,,1.0159987
1981-07-13,,0.9614319
1981-07-14,,0.94927424
1981-07-15,,0.925385
1981-07-16,,0.8590801
1981-07-17,,0.82756186
1981-07-18,,0.77527326
1981-07-19,,0.74537724
1981-07-20,,0.7049251
1981-07-21,,0.73233193
1981-07-22,,0.70236725
1981-07-23,,0.65744686
1981-07-24,,0.6244724
1981-07-25,,0.60609937
1981-07-26,,0.5964773
1981-07-27,,0.742747
1981-07-28,,0.7063784
1981-07-29,,0.695884
1981-07-30,,0.64418906
1981-07-31,,0.63259476
1981-08-01,,0.5945084
1981-08-02,,0.58211017
1981-08-03,,0.55674297
1981-08-04,,0.5919911
1981-08-05,,0.72395545
1981-08-06,,0.69245946
1981-08-07,,0.70726883
1981-08-08,,0.7515208
1981-08-09,,0.8093186
1981-08-10,,0.8997336
1981-08-11,,0.9111448
1981-08-12,,0.9260611
1981-08-13,,0.8981944
1981-08-14,,0.84493786
1981-08-15,,0.829842
1981-08-16,,0.8288101
1981-08-17,,0.8034738
1981-08-18,,0.7479379
1981-08-19,,0.6704247
1981-08-20,,0.623519
1981-08-21,,0.60128164
1981-08-22,,0.563833
1981-08-23,,0.5498828
1981-08-24,,0.5446088
1981-08-25,,0.5567123
1981-08-26,,0.522619
1981-08-27,,0.49799782
1981-08-28,,0.456247
1981-08-29,,0.42813453
1981-08-30,,0.6616173
1981-08-31,,0.8572561
1981-09-01,,0.9582722
1981-09-02,,1.1578848
1981-09-03,,1.368254
1981-09-04,,1.6233611
1981-09-05,,2.2958903
1981-09-06,,2.7679176
1981-09-07,,2.9678686
1981-09-08,,3.1338685
1981-09-09,,3.190338
1981-09-10,,3.074431
1981-09-11,,3.4574482
1981-09-12,,3.4387205
1981-09-13,,3.668417
1981-09-14,,3.5012434
1981-09-15,,3.2676752
1981-09-16,,2.9050984
1981-09-17,,2.723857
1981-09-18,,2.4576612
1981-09-19,,2.273004
1981-09-20,,2.2320688
1981-09-21,,2.1587732
1981-09-22,,2.0463428
1981-09-23,,1.9082952
1981-09-24,,1.7569376
1981-09-25,,1.617795
1981-09-26,,1.5351981
1981-09-27,,1.7209419
1981-09-28,,1.8708322
1981-09-29,,1.8757902
1981-09-30,,1.8295572
1981-10-01,,1.7834724
1981-10-02,,1.9896456
1981-10-03,,2.1585963
1981-10-04,,2.252681
1981-10-05,,2.2239938
1981-10-06,,2.3562076
1981-10-07,,3.1072638
1981-10-08,,3.9978337
1981-10-09,,4.4744854
1981-10-10,,4.4742336
1981-10-11,,4.4330435
1981-10-12,,4.2544084
1981-10-13,,3.981515
1981-10-14,,3.710595
1981-10-15,,3.515743
1981-10-16,,3.403767
1981-10-17,,3.3112707
1981-10-18,,3.5638921
1981-10-19,,4.521056
1981-10-20,,4.948409
1981-10-21,,5.261108
1981-10-22,,5.1135373
1981-10-23,,4.8356175
1981-10-24,,4.5859675
1981-10-25,,4.265684
1981-10-26,,4.035025
1981-10-27,,3.854986
1981-10-28,,3.633111
1981-10-29,,3.4292645
1981-10-30,,3.224513
1981-10-31,,3.0538192
1981-11-01,,2.912714
1981-11-02,,2.74097
1981-11-03,,2.5970104
1981-11-04,,2.405492
1981-11-05,,2.2896726
1981-11-06,,2.16689
1981-11-07,,2.0839124
1981-11-08,,2.0242376
1981-11-09,,1.9222658
1981-11-10,,1.844001
1981-11-11,,1.7563368
1981-11-12,,1.6734018
1981-11-13,,1.617794
1981-11-14,,1.5716808
1981-11-15,,1.509734
1981-11-16,,1.448837
1981-11-17,,1.4359133
1981-11-18,,1.4496862
1981-11-19,,1.4491556
1981-11-20,,1.5692422
1981-11-21,,1.7708476
1981-11-22,,1.8219061
1981-11-23,,1.7780609
1981-11-24,,1.6748744
1981-11-25,,1.6064276
1981-11-26,,1.5751048
1981-11-27,,1.7285465
1981-11-28,,1.7636822
1981-11-29,,1.7439367
1981-11-30,,1.7023032
1981-12-01,,1.6595811
1981-12-02,,1.7288282
1981-12-03,,1.8476274
1981-12-04,,1.9218345
1981-12-05,,1.9081546
1981-12-06,,1.8224967
1981-12-07,,1.72498
1981-12-08,,1.6367054
1981-12-09,,1.5407195
1981-12-10,,1.4908742
1981-12-11,,1.4753609
1981-12-12,,1.4281627
1981-12-13,,1.378782
1981-12-14,,1.3776791
1981-12-15,,1.3718364
1981-12-16,,1.3360113
1981-12-17,,1.2806525
1981-12-18,,1.2331165
1981-12-19,,1.1830742
1981-12-20,,1.1461813
1981-12-21,,1.1184579
1981-12-22,,1.1246018
1981-12-23,,1.1153817
1981-12-24,,1.090859
1981-12-25,,1.0725384
1981-12-26,,1.047106
1981-12-27,,1.0300415
1981-12-28,,1.0048515
1981-12-29,,0.9906187
1981-12-30,,0.9703262
1981-12-31,,0.97238934
